Timestamp,GUID
1579331635,41580391
1580206342,41617009
1581716682,41704843
1581871497,41707856
1581908483,41708975
1584255069,41896623
1585777268,41963542
1585952442,41972363
1589190012,42091847
1590318991,42167350
1591159942,42203601
1592314946,42251255
1592453612,42260554
1593162891,42293059
1595492629,42401699
1595669018,42410888
1597691884,42504835
1599821566,42616398
1599981372,42621322
1600577022,42653714
1600913155,42673426
1604037969,42833351
1604086400,42836188
1604093325,42836188
1604139533,42847614
1604139567,42847614
1604192714,42848604
1604192724,42848604
1604213070,42848682
1605469088,42914742
1606752274,42982748
